Folio,deleg,guard,id_guard,Esq,fecha_día,fecha_mes,fecha_año,hr_ini_h,hr_ini_m,hr_fin_h,hr_fin_m,F1,F2,lugaraplic,sexo,edad,edad_calc,parentf,parent,razoncui_e,razoncui_r,edadnino_años,edadnino_meses,sexonino,sala,discap,sat1,sat1_motg_1,sat1_motg_2,sat1_motg_3,requins,solinsc,noincint,tramit,motdifinsc,cartdes,tmpoingr,platica,filtroen,asistllegada,revpañal,revdesp,revunas,huecrede,revaytec,trato2,trato2_motg,trato1,motmalt,menuf,menu,acualimc,razondesal,alimcasa,alimcasamot,nutricionf,nutricion2,nutricion,lactm1a,lactm3a,lactm3b,lacnoraza,lactm4a,lactm4b,vacunas,valmed2m,medpart,motpart,retdesa,refumf,broguar,broinfo,trasurg,infurg,segurg,medidaseg,medidaseg2_1,medidaseg2_2,medidaseg2_3,mecpar,vigilante,limpguard,motlimpg,instaguard,calmant_1,calmant_2,calmant_3,tiempo,desling,desmot,desocon,conact,actadec,tematnycf,tematnyc,juntas,temjunt_1,temjunt_2,temjunt_3,comunic5med,asisdiainf,asishorinf_h,asishorinf_m,comunic6_1,comunic6_2,comunic6_3,preesc,recpree_2,consjpadres,dentrega,informe,infoinci,limpsalida,limpsalida2,huecreds,entrman,tipident,necehorar,sathorar_ini_h,sathorar_ini_m,sathorar_fin_h,sathorar_fin_m,razon_1,razon_2,razon_3,sat2,expecserv,actserv,recomen,motrecomen,recomserv_1,recomserv_2,recomserv_3,atnpref,atnpref2_a,corrup1,corrup4_1,corrup4_2,corrup4_3,escolar,fecha,entidad,id_guardería,CveDelegación,Delegación,NombredelaGuardería,BeneficiariosMarzo2022,Guardería,TipoGuard,estrato,MOSBenef,FE_FinalNR
169684262,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,7,18,7,30,1,1,1,2,30, ,2,1, , ,1,6,1,3,2,2, , , ,1,2, ,1, ,1,3,1,6,2,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,3,2, ,6, , ,1,1,1,9,2, ,2, ,2, , ,1,1,2, ,2,2,1, ,1, , , ,3,1,1,1,2, ,1,2,2, , , ,5,5,17,0,9, , ,2,2,2,6,1,1,1,1,1,1,6,1, , , , ,6, , ,8,4,2,2, ,2, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
169684507,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,7,22,7,35,1,1,1,1,29, ,2,2, , ,2,0,1,4,2,2, , , ,1,1,7,2, ,1,2,1,6,1,1,1,1,1, ,1, ,1, ,1,2,1, ,1, ,2, , ,3,1, , ,2, ,1,1,2, ,2, ,1,1,2, , ,1,2,7, ,2,1,1, ,1, , , ,3,1,1,1,2, ,2, ,1,13, , ,4,5,17,0,11, , ,2,1,2,4,4,1,1,2,1,2,3,1, , , , ,2, , ,10,99,1,1, ,28, , ,1,2,2, , , ,3,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169685678,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,7,55,8,6,1,1,1,1,34, ,2,2, , ,3,0,2,6,2,1, , , ,1,1,6,2, ,1,4,1,6,1,1,1,1,1, ,1, ,1, ,1,99,1, ,1, ,2, , ,3,2, ,999, , ,1,1,1,7,2, ,1,1,2, , ,1,18,7,6,2,1,1, ,1, , , ,3,1,1,1,1,1,1,13,1,11, , ,4,5,8,0,9, , ,1,1,2,6,1,1,1,1,1,1,3,1, , , , ,1, , ,10,5,1,1, ,995, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169685993,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,2,8,15,1,1,1,1,45, ,2,2, , ,1,6,2,3,2,2, , , ,7,1,1,2, ,1,3,1,6,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,2,2, ,10, , ,1,1,2, ,2, ,2, ,2, , ,1,1,2, ,1,1,2, ,2, , , ,3,1,1,1,1,1,1,1,1,2,4, ,4,5,8,0,2,1, ,1,1,2,6,1,1,1,1,1,1,2,1, , , , ,2, , ,9,2,2,2, ,2, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.28700583357068
169686231,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,9,8,21,1,1,1,2,26, ,2,1, , ,1,0,1,3,2,1, , , ,6, , , , , ,1, ,3,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,1,1,1,1,2, ,5, , ,1,1,2, ,2, ,1,1,2, , ,2, , , ,99,1,1, ,2, , , ,3,1,1,1,1,1,1,15,2, , , ,2,5,8,0,9, , ,2,1,1,3,1,4,1,1,1,1,1,1, , , , ,5, , ,10,4,1,1, ,9, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
169686421,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,16,8,26,1,1,1,1,31, ,2,2, , ,3,0,1,6,2,2, , , ,2,2, ,2, ,1,3,1,6,1,1,1,1,1, ,2, ,2, ,1,2,1, ,1, ,2, , ,4,2, ,7, , ,1,1,2, ,2, ,1,1,2, , ,1,6,1,2,1,1,1, ,2, , , ,1,1,1,1,1,1,1,3, , , , ,4,99,99,99,9, , ,2,2,2,6,1,1,1,1,1,1,1,1, , , , ,2, , ,10,2,2,1, ,995, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169686716,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,23,8,34,1,2,1,1,25, ,2,2, , ,0,9,1,2,2,2, , , ,1,2, ,2, ,1,4,2,6,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,1,2, ,12, , ,1,1,2, ,2, ,1,2,2, , ,2, , , ,2,1,1, ,2, , , ,2,99,1,1,2, ,2, ,2, , , ,3,3,12,0,11, , ,1,1,2, , , , , , , , ,1, , , , ,1, , ,10,2,2,1, ,28, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.16402661228335
169690996,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,9,48,10,1,1,1,2,2,32, ,2,1, , ,0,8,2,2,2,2, , , ,1,1,3,1, ,1,2,1,6,1,1,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,1,2, ,5, , ,1,1,2, ,2, ,2, ,2, , ,1,16, , ,2,1,2, ,2, , , ,1,1,1,1,1,1,1,1, , , , ,4,5,17,0,9, , ,1,1,2,6,1,1,1,1,1,1,1,1, , , , ,6, , ,9,1,2,1, ,24, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
169692991,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,10,28,10,40,1,2,2,1,43, ,1,3,1,3,2,6,2,6,2,2, , , ,6, , , , , ,1, ,6,1,97,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,1,2, ,3, , ,1,1,2, ,2, ,1,1,2, , ,1,6, , ,99,4,1, ,1, , , ,1,1,1,1,2, ,1,4, , , , ,3,99,99,99,5, , ,1,1,1, , , , , , , , ,1, , , , ,2, , ,10,3,1,2, ,999, , ,2,2,2, , , ,5,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62913398437622
169695247,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,11,6,11,18,1,1,2,2,34, ,2,1, , ,2,0,1,4,2,2, , , ,6, , , , , ,1, ,3,1,97,1,4,1, ,2, ,99, ,1,1,2,12,1, ,2, , ,3,2, ,16, , ,1,1,1,7,2, ,1,1,1,1,99,2, , , ,99,1,2, ,2, , , ,2,1,1,1,2, ,2, ,2, , , ,4,1,15,0,9, , ,2,2,2,3,4,4,1,1,1,1,2,1, , , , ,1, , ,8,2,2,3,3,28, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
